gt	sample	genotype	status	selection	time	cytokine	Null	Pestis
1	265	Allele 1	0_expressed	Expressed	5h	G-CSF	13	1325
1	339	Allele 1	0_expressed	Expressed	5h	G-CSF	13	210
1	373	Allele 1	0_expressed	Expressed	5h	G-CSF	4	904
1	797	Allele 1	0_expressed	Expressed	5h	G-CSF	18	818
1	176	Allele 1	0_expressed	Expressed	5h	G-CSF	18	463
1	405	Allele 1	0_expressed	Expressed	5h	G-CSF	18	385
1	133	Allele 1	0_expressed	Expressed	5h	G-CSF	18	325
1	482	Allele 1	0_expressed	Expressed	5h	G-CSF	18	372
1	666	Allele 1	0_expressed	Expressed	5h	G-CSF	18	620
2	241	HE	1_het	Expressed	5h	G-CSF	18	120
2	661	HE	1_het	Expressed	5h	G-CSF	4	332
2	953	HE	1_het	Expressed	5h	G-CSF	18	256
2	540	HE	1_het	Expressed	5h	G-CSF	18	270
2	549	HE	1_het	Expressed	5h	G-CSF	18	136
2	561	HE	1_het	Expressed	5h	G-CSF	18	149
2	604	HE	1_het	Expressed	5h	G-CSF	18	194
2	217	HE	1_het	Expressed	5h	G-CSF	43	378
2	27	HE	1_het	Expressed	5h	G-CSF	18	955
3	702	Allele 2	2_deleterious	2_deleterious	5h	G-CSF	13	611
3	515	Allele 2	2_deleterious	2_deleterious	5h	G-CSF	4	282
3	921	Allele 2	2_deleterious	2_deleterious	5h	G-CSF	18	282
3	344	Allele 2	2_deleterious	2_deleterious	5h	G-CSF	13	1054
3	485	Allele 2	2_deleterious	2_deleterious	5h	G-CSF	18	817
3	535	Allele 2	2_deleterious	2_deleterious	5h	G-CSF	18	290
3	724	Allele 2	2_deleterious	2_deleterious	5h	G-CSF	18	800
1	265	Allele 1	0_expressed	Expressed	24h	G-CSF	88	10951
1	339	Allele 1	0_expressed	Expressed	24h	G-CSF	30	8371
1	373	Allele 1	0_expressed	Expressed	24h	G-CSF	61	6094
1	797	Allele 1	0_expressed	Expressed	24h	G-CSF	18	4502
1	176	Allele 1	0_expressed	Expressed	24h	G-CSF	18	6470
1	405	Allele 1	0_expressed	Expressed	24h	G-CSF	18	3664
1	133	Allele 1	0_expressed	Expressed	24h	G-CSF	18	3315
1	482	Allele 1	0_expressed	Expressed	24h	G-CSF	18	4381
1	666	Allele 1	0_expressed	Expressed	24h	G-CSF	18	3144
2	241	HE	1_het	Expressed	24h	G-CSF	9	2744
2	661	HE	1_het	Expressed	24h	G-CSF	4	6645
2	953	HE	1_het	Expressed	24h	G-CSF	18	3951
2	540	HE	1_het	Expressed	24h	G-CSF	4	5370
2	549	HE	1_het	Expressed	24h	G-CSF	88	9866
2	561	HE	1_het	Expressed	24h	G-CSF	18	9634
2	604	HE	1_het	Expressed	24h	G-CSF	18	6346
2	217	HE	1_het	Expressed	24h	G-CSF	39	13660
2	27	HE	1_het	Expressed	24h	G-CSF	18	5882
3	702	Allele 2	2_deleterious	2_deleterious	24h	G-CSF	4	18232
3	515	Allele 2	2_deleterious	2_deleterious	24h	G-CSF	13	20235
3	921	Allele 2	2_deleterious	2_deleterious	24h	G-CSF	18	10335
3	344	Allele 2	2_deleterious	2_deleterious	24h	G-CSF	13	6914
3	485	Allele 2	2_deleterious	2_deleterious	24h	G-CSF	25	8502
3	535	Allele 2	2_deleterious	2_deleterious	24h	G-CSF	18	5115
3	724	Allele 2	2_deleterious	2_deleterious	24h	G-CSF	18	9427
1	265	Allele 1	0_expressed	Expressed	5h	GM-CSF	1	694
1	339	Allele 1	0_expressed	Expressed	5h	GM-CSF	2	80
1	373	Allele 1	0_expressed	Expressed	5h	GM-CSF	9	568
1	797	Allele 1	0_expressed	Expressed	5h	GM-CSF	4	691
1	176	Allele 1	0_expressed	Expressed	5h	GM-CSF	3	903
1	405	Allele 1	0_expressed	Expressed	5h	GM-CSF	3	207
1	133	Allele 1	0_expressed	Expressed	5h	GM-CSF	4	216
1	482	Allele 1	0_expressed	Expressed	5h	GM-CSF	1	257
1	666	Allele 1	0_expressed	Expressed	5h	GM-CSF	3	274
2	241	HE	1_het	Expressed	5h	GM-CSF	3	127
2	661	HE	1_het	Expressed	5h	GM-CSF	10	158
2	953	HE	1_het	Expressed	5h	GM-CSF	3	541
2	540	HE	1_het	Expressed	5h	GM-CSF	3	440
2	549	HE	1_het	Expressed	5h	GM-CSF	3	79
2	561	HE	1_het	Expressed	5h	GM-CSF	3	171
2	604	HE	1_het	Expressed	5h	GM-CSF	3	131
2	217	HE	1_het	Expressed	5h	GM-CSF	4	178
2	27	HE	1_het	Expressed	5h	GM-CSF	1	374
3	702	Allele 2	2_deleterious	2_deleterious	5h	GM-CSF	2	760
3	515	Allele 2	2_deleterious	2_deleterious	5h	GM-CSF	4	432
3	921	Allele 2	2_deleterious	2_deleterious	5h	GM-CSF	3	365
3	344	Allele 2	2_deleterious	2_deleterious	5h	GM-CSF	6	548
3	485	Allele 2	2_deleterious	2_deleterious	5h	GM-CSF	3	358
3	535	Allele 2	2_deleterious	2_deleterious	5h	GM-CSF	3	364
3	724	Allele 2	2_deleterious	2_deleterious	5h	GM-CSF	3	668
1	265	Allele 1	0_expressed	Expressed	24h	GM-CSF	7	1378
1	339	Allele 1	0_expressed	Expressed	24h	GM-CSF	1	729
1	373	Allele 1	0_expressed	Expressed	24h	GM-CSF	13	634
1	797	Allele 1	0_expressed	Expressed	24h	GM-CSF	1	1350
1	176	Allele 1	0_expressed	Expressed	24h	GM-CSF	3	1948
1	405	Allele 1	0_expressed	Expressed	24h	GM-CSF	3	228
1	133	Allele 1	0_expressed	Expressed	24h	GM-CSF	3	451
1	482	Allele 1	0_expressed	Expressed	24h	GM-CSF	1	393
1	666	Allele 1	0_expressed	Expressed	24h	GM-CSF	2	290
2	241	HE	1_het	Expressed	24h	GM-CSF	1	290
2	661	HE	1_het	Expressed	24h	GM-CSF	4	409
2	953	HE	1_het	Expressed	24h	GM-CSF	3	856
2	540	HE	1_het	Expressed	24h	GM-CSF	3	997
2	549	HE	1_het	Expressed	24h	GM-CSF	3	729
2	561	HE	1_het	Expressed	24h	GM-CSF	1	643
2	604	HE	1_het	Expressed	24h	GM-CSF	1	549
2	217	HE	1_het	Expressed	24h	GM-CSF	5	826
2	27	HE	1_het	Expressed	24h	GM-CSF	2	448
3	702	Allele 2	2_deleterious	2_deleterious	24h	GM-CSF	4	1240
3	515	Allele 2	2_deleterious	2_deleterious	24h	GM-CSF	1	6586
3	921	Allele 2	2_deleterious	2_deleterious	24h	GM-CSF	3	1154
3	344	Allele 2	2_deleterious	2_deleterious	24h	GM-CSF	3	711
3	485	Allele 2	2_deleterious	2_deleterious	24h	GM-CSF	3	452
3	535	Allele 2	2_deleterious	2_deleterious	24h	GM-CSF	3	1217
3	724	Allele 2	2_deleterious	2_deleterious	24h	GM-CSF	3	1516
1	265	Allele 1	0_expressed	Expressed	5h	IL1B	7	234
1	339	Allele 1	0_expressed	Expressed	5h	IL1B	3	14
1	373	Allele 1	0_expressed	Expressed	5h	IL1B	3	166
1	797	Allele 1	0_expressed	Expressed	5h	IL1B	1	202
1	176	Allele 1	0_expressed	Expressed	5h	IL1B	0	127
1	405	Allele 1	0_expressed	Expressed	5h	IL1B	0	69
1	133	Allele 1	0_expressed	Expressed	5h	IL1B	3	47
1	482	Allele 1	0_expressed	Expressed	5h	IL1B	3	65
1	666	Allele 1	0_expressed	Expressed	5h	IL1B	3	155
2	241	HE	1_het	Expressed	5h	IL1B	1	174
2	661	HE	1_het	Expressed	5h	IL1B	1	17
2	953	HE	1_het	Expressed	5h	IL1B	0	299
2	540	HE	1_het	Expressed	5h	IL1B	5	143
2	549	HE	1_het	Expressed	5h	IL1B	3	152
2	561	HE	1_het	Expressed	5h	IL1B	6	56
2	604	HE	1_het	Expressed	5h	IL1B	2	97
2	217	HE	1_het	Expressed	5h	IL1B	2	53
2	27	HE	1_het	Expressed	5h	IL1B	3	199
3	702	Allele 2	2_deleterious	2_deleterious	5h	IL1B	2	421
3	515	Allele 2	2_deleterious	2_deleterious	5h	IL1B	1	83
3	921	Allele 2	2_deleterious	2_deleterious	5h	IL1B	0	121
3	344	Allele 2	2_deleterious	2_deleterious	5h	IL1B	2	181
3	485	Allele 2	2_deleterious	2_deleterious	5h	IL1B	2	135
3	535	Allele 2	2_deleterious	2_deleterious	5h	IL1B	0	161
3	724	Allele 2	2_deleterious	2_deleterious	5h	IL1B	0	77
1	265	Allele 1	0_expressed	Expressed	24h	IL1B	3	2476
1	339	Allele 1	0_expressed	Expressed	24h	IL1B	1	1170
1	373	Allele 1	0_expressed	Expressed	24h	IL1B	3	1161
1	797	Allele 1	0_expressed	Expressed	24h	IL1B	0	968
1	176	Allele 1	0_expressed	Expressed	24h	IL1B	1	2922
1	405	Allele 1	0_expressed	Expressed	24h	IL1B	3	1033
1	133	Allele 1	0_expressed	Expressed	24h	IL1B	3	476
1	482	Allele 1	0_expressed	Expressed	24h	IL1B	3	812
